,year,overall,rural,urban,geo,name,four_regions,eight_regions,six_regions,members_oecd_g77,Latitude,Longitude,unmember,world_bank_region,income_groups
1149,2015,0.992,0.99,0.993,deu,Germany,europe,europe_west,europe_central_asia,oecd,51.5,10.5,18/09/1973,Europe & Central Asia,High income
1150,2016,0.992,0.99,0.993,deu,Germany,europe,europe_west,europe_central_asia,oecd,51.5,10.5,18/09/1973,Europe & Central Asia,High income
1151,2017,0.992,0.99,0.993,deu,Germany,europe,europe_west,europe_central_asia,oecd,51.5,10.5,18/09/1973,Europe & Central Asia,High income
1721,2011,0.992,,,lby,Libya,africa,africa_north,middle_east_north_africa,g77,28,17,14/12/1955,Middle East & North Africa,Upper middle income
1830,2012,0.992,0.981,0.996,mys,Malaysia,asia,east_asia_pacific,east_asia_pacific,g77,2.5,112.5,17/09/1957,East Asia & Pacific,Upper middle income
1852,2016,0.992,0.993,0.991,mdv,Maldives,asia,asia_west,south_asia,g77,3.2,73,21/09/1965,South Asia,Upper middle income
2479,2013,0.992,0.991,0.993,prt,Portugal,europe,europe_west,europe_central_asia,oecd,39.6945,-8.13057,14/12/1955,Europe & Central Asia,High income
2619,2009,0.992,,,sau,Saudi Arabia,asia,asia_west,middle_east_north_africa,g77,25,45,24/10/1945,Middle East & North Africa,High income
2676,2012,0.992,,,syc,Seychelles,africa,africa_sub_saharan,sub_saharan_africa,g77,-4.58333,55.66667,21/09/1976,Sub-Saharan Africa,High income
810,2000,0.991,0.993,0.991,cze,Czech Republic,europe,europe_east,europe_central_asia,oecd,49.75,15,19/01/1993,Europe & Central Asia,High income
811,2001,0.991,0.993,0.991,cze,Czech Republic,europe,europe_east,europe_central_asia,oecd,49.75,15,19/01/1993,Europe & Central Asia,High income
812,2002,0.991,0.993,0.991,cze,Czech Republic,europe,europe_east,europe_central_asia,oecd,49.75,15,19/01/1993,Europe & Central Asia,High income
813,2003,0.991,0.993,0.991,cze,Czech Republic,europe,europe_east,europe_central_asia,oecd,49.75,15,19/01/1993,Europe & Central Asia,High income
814,2004,0.991,0.993,0.991,cze,Czech Republic,europe,europe_east,europe_central_asia,oecd,49.75,15,19/01/1993,Europe & Central Asia,High income
815,2005,0.991,0.993,0.991,cze,Czech Republic,europe,europe_east,europe_central_asia,oecd,49.75,15,19/01/1993,Europe & Central Asia,High income
816,2006,0.991,0.993,0.991,cze,Czech Republic,europe,europe_east,europe_central_asia,oecd,49.75,15,19/01/1993,Europe & Central Asia,High income
817,2007,0.991,0.993,0.991,cze,Czech Republic,europe,europe_east,europe_central_asia,oecd,49.75,15,19/01/1993,Europe & Central Asia,High income
818,2008,0.991,0.993,0.991,cze,Czech Republic,europe,europe_east,europe_central_asia,oecd,49.75,15,19/01/1993,Europe & Central Asia,High income
819,2009,0.991,0.993,0.991,cze,Czech Republic,europe,europe_east,europe_central_asia,oecd,49.75,15,19/01/1993,Europe & Central Asia,High income
820,2010,0.991,0.993,0.991,cze,Czech Republic,europe,europe_east,europe_central_asia,oecd,49.75,15,19/01/1993,Europe & Central Asia,High income
821,2011,0.991,0.993,0.991,cze,Czech Republic,europe,europe_east,europe_central_asia,oecd,49.75,15,19/01/1993,Europe & Central Asia,High income
822,2012,0.991,0.993,0.991,cze,Czech Republic,europe,europe_east,europe_central_asia,oecd,49.75,15,19/01/1993,Europe & Central Asia,High income
823,2013,0.991,0.993,0.991,cze,Czech Republic,europe,europe_east,europe_central_asia,oecd,49.75,15,19/01/1993,Europe & Central Asia,High income
824,2014,0.991,0.993,0.991,cze,Czech Republic,europe,europe_east,europe_central_asia,oecd,49.75,15,19/01/1993,Europe & Central Asia,High income
825,2015,0.991,0.993,0.991,cze,Czech Republic,europe,europe_east,europe_central_asia,oecd,49.75,15,19/01/1993,Europe & Central Asia,High income
826,2016,0.991,0.993,0.991,cze,Czech Republic,europe,europe_east,europe_central_asia,oecd,49.75,15,19/01/1993,Europe & Central Asia,High income
827,2017,0.991,0.992,0.991,cze,Czech Republic,europe,europe_east,europe_central_asia,oecd,49.75,15,19/01/1993,Europe & Central Asia,High income
1004,2014,0.991,0.993,0.991,est,Estonia,europe,europe_east,europe_central_asia,others,59,26,17/09/1991,Europe & Central Asia,High income
1005,2015,0.991,0.993,0.991,est,Estonia,europe,europe_east,europe_central_asia,others,59,26,17/09/1991,Europe & Central Asia,High income
1006,2016,0.991,0.993,0.99,est,Estonia,europe,europe_east,europe_central_asia,others,59,26,17/09/1991,Europe & Central Asia,High income
1007,2017,0.991,0.994,0.99,est,Estonia,europe,europe_east,europe_central_asia,others,59,26,17/09/1991,Europe & Central Asia,High income
2478,2012,0.991,0.988,0.992,prt,Portugal,europe,europe_west,europe_central_asia,oecd,39.6945,-8.13057,14/12/1955,Europe & Central Asia,High income
2618,2008,0.991,,,sau,Saudi Arabia,asia,asia_west,middle_east_north_africa,g77,25,45,24/10/1945,Middle East & North Africa,High income
2736,2000,0.991,0.991,0.991,svn,Slovenia,europe,europe_east,europe_central_asia,others,46.08333,15,22/05/1992,Europe & Central Asia,High income
2737,2001,0.991,0.991,0.991,svn,Slovenia,europe,europe_east,europe_central_asia,others,46.08333,15,22/05/1992,Europe & Central Asia,High income
2738,2002,0.991,0.991,0.991,svn,Slovenia,europe,europe_east,europe_central_asia,others,46.08333,15,22/05/1992,Europe & Central Asia,High income
2739,2003,0.991,0.991,0.991,svn,Slovenia,europe,europe_east,europe_central_asia,others,46.08333,15,22/05/1992,Europe & Central Asia,High income
2740,2004,0.991,0.991,0.991,svn,Slovenia,europe,europe_east,europe_central_asia,others,46.08333,15,22/05/1992,Europe & Central Asia,High income
2741,2005,0.991,0.991,0.991,svn,Slovenia,europe,europe_east,europe_central_asia,others,46.08333,15,22/05/1992,Europe & Central Asia,High income
2742,2006,0.991,0.991,0.991,svn,Slovenia,europe,europe_east,europe_central_asia,others,46.08333,15,22/05/1992,Europe & Central Asia,High income
2743,2007,0.991,0.991,0.991,svn,Slovenia,europe,europe_east,europe_central_asia,others,46.08333,15,22/05/1992,Europe & Central Asia,High income
2744,2008,0.991,0.991,0.991,svn,Slovenia,europe,europe_east,europe_central_asia,others,46.08333,15,22/05/1992,Europe & Central Asia,High income
2745,2009,0.991,0.991,0.991,svn,Slovenia,europe,europe_east,europe_central_asia,others,46.08333,15,22/05/1992,Europe & Central Asia,High income
2746,2010,0.991,0.991,0.991,svn,Slovenia,europe,europe_east,europe_central_asia,others,46.08333,15,22/05/1992,Europe & Central Asia,High income
2747,2011,0.991,0.991,0.991,svn,Slovenia,europe,europe_east,europe_central_asia,others,46.08333,15,22/05/1992,Europe & Central Asia,High income
2748,2012,0.991,0.991,0.991,svn,Slovenia,europe,europe_east,europe_central_asia,others,46.08333,15,22/05/1992,Europe & Central Asia,High income
2749,2013,0.991,0.991,0.991,svn,Slovenia,europe,europe_east,europe_central_asia,others,46.08333,15,22/05/1992,Europe & Central Asia,High income
2750,2014,0.991,0.991,0.991,svn,Slovenia,europe,europe_east,europe_central_asia,others,46.08333,15,22/05/1992,Europe & Central Asia,High income
2751,2015,0.991,0.991,0.991,svn,Slovenia,europe,europe_east,europe_central_asia,others,46.08333,15,22/05/1992,Europe & Central Asia,High income
2752,2016,0.991,0.991,0.991,svn,Slovenia,europe,europe_east,europe_central_asia,others,46.08333,15,22/05/1992,Europe & Central Asia,High income
2753,2017,0.991,0.991,0.991,svn,Slovenia,europe,europe_east,europe_central_asia,others,46.08333,15,22/05/1992,Europe & Central Asia,High income
3276,2000,0.991,0.995,0.99,gbr,United Kingdom,europe,europe_west,europe_central_asia,oecd,54.75844,-2.69531,24/10/1945,Europe & Central Asia,High income
3277,2001,0.991,0.995,0.99,gbr,United Kingdom,europe,europe_west,europe_central_asia,oecd,54.75844,-2.69531,24/10/1945,Europe & Central Asia,High income
3278,2002,0.991,0.995,0.99,gbr,United Kingdom,europe,europe_west,europe_central_asia,oecd,54.75844,-2.69531,24/10/1945,Europe & Central Asia,High income
3279,2003,0.991,0.995,0.99,gbr,United Kingdom,europe,europe_west,europe_central_asia,oecd,54.75844,-2.69531,24/10/1945,Europe & Central Asia,High income
3280,2004,0.991,0.995,0.99,gbr,United Kingdom,europe,europe_west,europe_central_asia,oecd,54.75844,-2.69531,24/10/1945,Europe & Central Asia,High income
3281,2005,0.991,0.995,0.99,gbr,United Kingdom,europe,europe_west,europe_central_asia,oecd,54.75844,-2.69531,24/10/1945,Europe & Central Asia,High income
3282,2006,0.991,0.995,0.99,gbr,United Kingdom,europe,europe_west,europe_central_asia,oecd,54.75844,-2.69531,24/10/1945,Europe & Central Asia,High income
3283,2007,0.991,0.995,0.99,gbr,United Kingdom,europe,europe_west,europe_central_asia,oecd,54.75844,-2.69531,24/10/1945,Europe & Central Asia,High income
3284,2008,0.991,0.995,0.99,gbr,United Kingdom,europe,europe_west,europe_central_asia,oecd,54.75844,-2.69531,24/10/1945,Europe & Central Asia,High income
3285,2009,0.991,0.995,0.99,gbr,United Kingdom,europe,europe_west,europe_central_asia,oecd,54.75844,-2.69531,24/10/1945,Europe & Central Asia,High income
3286,2010,0.991,0.995,0.99,gbr,United Kingdom,europe,europe_west,europe_central_asia,oecd,54.75844,-2.69531,24/10/1945,Europe & Central Asia,High income
3287,2011,0.991,0.995,0.99,gbr,United Kingdom,europe,europe_west,europe_central_asia,oecd,54.75844,-2.69531,24/10/1945,Europe & Central Asia,High income
3288,2012,0.991,0.995,0.99,gbr,United Kingdom,europe,europe_west,europe_central_asia,oecd,54.75844,-2.69531,24/10/1945,Europe & Central Asia,High income
3289,2013,0.991,0.995,0.99,gbr,United Kingdom,europe,europe_west,europe_central_asia,oecd,54.75844,-2.69531,24/10/1945,Europe & Central Asia,High income
3290,2014,0.991,0.995,0.99,gbr,United Kingdom,europe,europe_west,europe_central_asia,oecd,54.75844,-2.69531,24/10/1945,Europe & Central Asia,High income
3291,2015,0.991,0.995,0.99,gbr,United Kingdom,europe,europe_west,europe_central_asia,oecd,54.75844,-2.69531,24/10/1945,Europe & Central Asia,High income
3292,2016,0.991,0.995,0.99,gbr,United Kingdom,europe,europe_west,europe_central_asia,oecd,54.75844,-2.69531,24/10/1945,Europe & Central Asia,High income
3293,2017,0.991,0.995,0.99,gbr,United Kingdom,europe,europe_west,europe_central_asia,oecd,54.75844,-2.69531,24/10/1945,Europe & Central Asia,High income
3341,2011,0.991,0.985,0.996,uzb,Uzbekistan,asia,asia_west,europe_central_asia,others,41.66667,63.83333,02/03/1992,Europe & Central Asia,Lower middle income
1184,2014,0.99,0.981,0.992,grc,Greece,europe,europe_west,europe_central_asia,oecd,39,22,25/10/1945,Europe & Central Asia,High income
1185,2015,0.99,0.981,0.992,grc,Greece,europe,europe_west,europe_central_asia,oecd,39,22,25/10/1945,Europe & Central Asia,High income
1186,2016,0.99,0.981,0.992,grc,Greece,europe,europe_west,europe_central_asia,oecd,39,22,25/10/1945,Europe & Central Asia,High income
1187,2017,0.99,0.981,0.992,grc,Greece,europe,europe_west,europe_central_asia,oecd,39,22,25/10/1945,Europe & Central Asia,High income
1720,2010,0.99,,,lby,Libya,africa,africa_north,middle_east_north_africa,g77,28,17,14/12/1955,Middle East & North Africa,Upper middle income
1829,2011,0.99,0.978,0.995,mys,Malaysia,asia,east_asia_pacific,east_asia_pacific,g77,2.5,112.5,17/09/1957,East Asia & Pacific,Upper middle income
1851,2015,0.99,0.991,0.989,mdv,Maldives,asia,asia_west,south_asia,g77,3.2,73,21/09/1965,South Asia,Upper middle income
1719,2009,0.989,,,lby,Libya,africa,africa_north,middle_east_north_africa,g77,28,17,14/12/1955,Middle East & North Africa,Upper middle income
2298,2012,0.989,0.963,0.996,omn,Oman,asia,asia_west,middle_east_north_africa,g77,21,57,07/10/1971,Middle East & North Africa,High income
2477,2011,0.989,0.986,0.991,prt,Portugal,europe,europe_west,europe_central_asia,oecd,39.6945,-8.13057,14/12/1955,Europe & Central Asia,High income
2617,2007,0.989,,,sau,Saudi Arabia,asia,asia_west,middle_east_north_africa,g77,25,45,24/10/1945,Middle East & North Africa,High income
625,2013,0.988,0.944,0.994,chl,Chile,americas,america_south,america,g77,-33.45694,-70.64827,24/10/1945,Latin America & Caribbean,High income
1332,2000,0.988,1,0.987,isl,Iceland,europe,europe_west,europe_central_asia,oecd,65,-18,19/11/1946,Europe & Central Asia,High income
1333,2001,0.988,1,0.987,isl,Iceland,europe,europe_west,europe_central_asia,oecd,65,-18,19/11/1946,Europe & Central Asia,High income
1334,2002,0.988,1,0.987,isl,Iceland,europe,europe_west,europe_central_asia,oecd,65,-18,19/11/1946,Europe & Central Asia,High income
1335,2003,0.988,1,0.987,isl,Iceland,europe,europe_west,europe_central_asia,oecd,65,-18,19/11/1946,Europe & Central Asia,High income
1336,2004,0.988,1,0.987,isl,Iceland,europe,europe_west,europe_central_asia,oecd,65,-18,19/11/1946,Europe & Central Asia,High income
1337,2005,0.988,1,0.987,isl,Iceland,europe,europe_west,europe_central_asia,oecd,65,-18,19/11/1946,Europe & Central Asia,High income
1338,2006,0.988,1,0.987,isl,Iceland,europe,europe_west,europe_central_asia,oecd,65,-18,19/11/1946,Europe & Central Asia,High income
1339,2007,0.988,1,0.987,isl,Iceland,europe,europe_west,europe_central_asia,oecd,65,-18,19/11/1946,Europe & Central Asia,High income
1340,2008,0.988,1,0.987,isl,Iceland,europe,europe_west,europe_central_asia,oecd,65,-18,19/11/1946,Europe & Central Asia,High income
1341,2009,0.988,1,0.987,isl,Iceland,europe,europe_west,europe_central_asia,oecd,65,-18,19/11/1946,Europe & Central Asia,High income
1342,2010,0.988,1,0.987,isl,Iceland,europe,europe_west,europe_central_asia,oecd,65,-18,19/11/1946,Europe & Central Asia,High income
1343,2011,0.988,1,0.987,isl,Iceland,europe,europe_west,europe_central_asia,oecd,65,-18,19/11/1946,Europe & Central Asia,High income
1344,2012,0.988,1,0.987,isl,Iceland,europe,europe_west,europe_central_asia,oecd,65,-18,19/11/1946,Europe & Central Asia,High income
1345,2013,0.988,1,0.987,isl,Iceland,europe,europe_west,europe_central_asia,oecd,65,-18,19/11/1946,Europe & Central Asia,High income
1346,2014,0.988,1,0.987,isl,Iceland,europe,europe_west,europe_central_asia,oecd,65,-18,19/11/1946,Europe & Central Asia,High income
1347,2015,0.988,1,0.987,isl,Iceland,europe,europe_west,europe_central_asia,oecd,65,-18,19/11/1946,Europe & Central Asia,High income
1348,2016,0.988,1,0.987,isl,Iceland,europe,europe_west,europe_central_asia,oecd,65,-18,19/11/1946,Europe & Central Asia,High income
1349,2017,0.988,1,0.987,isl,Iceland,europe,europe_west,europe_central_asia,oecd,65,-18,19/11/1946,Europe & Central Asia,High income
1464,2006,0.988,0.986,0.988,ita,Italy,europe,europe_west,europe_central_asia,oecd,42.83333,12.83333,14/12/1955,Europe & Central Asia,High income
1465,2007,0.988,0.986,0.988,ita,Italy,europe,europe_west,europe_central_asia,oecd,42.83333,12.83333,14/12/1955,Europe & Central Asia,High income
1466,2008,0.988,0.986,0.988,ita,Italy,europe,europe_west,europe_central_asia,oecd,42.83333,12.83333,14/12/1955,Europe & Central Asia,High income
1467,2009,0.988,0.986,0.988,ita,Italy,europe,europe_west,europe_central_asia,oecd,42.83333,12.83333,14/12/1955,Europe & Central Asia,High income
1468,2010,0.988,0.986,0.988,ita,Italy,europe,europe_west,europe_central_asia,oecd,42.83333,12.83333,14/12/1955,Europe & Central Asia,High income
1469,2011,0.988,0.986,0.988,ita,Italy,europe,europe_west,europe_central_asia,oecd,42.83333,12.83333,14/12/1955,Europe & Central Asia,High income
1470,2012,0.988,0.986,0.988,ita,Italy,europe,europe_west,europe_central_asia,oecd,42.83333,12.83333,14/12/1955,Europe & Central Asia,High income
1471,2013,0.988,0.986,0.988,ita,Italy,europe,europe_west,europe_central_asia,oecd,42.83333,12.83333,14/12/1955,Europe & Central Asia,High income
1472,2014,0.988,0.986,0.988,ita,Italy,europe,europe_west,europe_central_asia,oecd,42.83333,12.83333,14/12/1955,Europe & Central Asia,High income
1473,2015,0.988,0.986,0.988,ita,Italy,europe,europe_west,europe_central_asia,oecd,42.83333,12.83333,14/12/1955,Europe & Central Asia,High income
1474,2016,0.988,0.986,0.988,ita,Italy,europe,europe_west,europe_central_asia,oecd,42.83333,12.83333,14/12/1955,Europe & Central Asia,High income
1475,2017,0.988,0.986,0.988,ita,Italy,europe,europe_west,europe_central_asia,oecd,42.83333,12.83333,14/12/1955,Europe & Central Asia,High income
1828,2010,0.988,0.974,0.994,mys,Malaysia,asia,east_asia_pacific,east_asia_pacific,g77,2.5,112.5,17/09/1957,East Asia & Pacific,Upper middle income
2465,2017,0.988,0.992,0.985,pol,Poland,europe,europe_west,europe_central_asia,oecd,52,20,24/10/1945,Europe & Central Asia,High income
2476,2010,0.988,0.983,0.991,prt,Portugal,europe,europe_west,europe_central_asia,oecd,39.6945,-8.13057,14/12/1955,Europe & Central Asia,High income
2616,2006,0.988,,,sau,Saudi Arabia,asia,asia_west,middle_east_north_africa,g77,25,45,24/10/1945,Middle East & North Africa,High income
2675,2011,0.988,,,syc,Seychelles,africa,africa_sub_saharan,sub_saharan_africa,g77,-4.58333,55.66667,21/09/1976,Sub-Saharan Africa,High income
3077,2017,0.988,0.983,0.992,tha,Thailand,asia,east_asia_pacific,east_asia_pacific,g77,15.5,101,16/12/1946,East Asia & Pacific,Upper middle income
1062,2000,0.987,0.989,0.986,fra,France,europe,europe_west,europe_central_asia,oecd,46,2,24/10/1945,Europe & Central Asia,High income
1063,2001,0.987,0.989,0.986,fra,France,europe,europe_west,europe_central_asia,oecd,46,2,24/10/1945,Europe & Central Asia,High income
1064,2002,0.987,0.989,0.986,fra,France,europe,europe_west,europe_central_asia,oecd,46,2,24/10/1945,Europe & Central Asia,High income
1065,2003,0.987,0.989,0.986,fra,France,europe,europe_west,europe_central_asia,oecd,46,2,24/10/1945,Europe & Central Asia,High income
1066,2004,0.987,0.989,0.986,fra,France,europe,europe_west,europe_central_asia,oecd,46,2,24/10/1945,Europe & Central Asia,High income
1067,2005,0.987,0.989,0.986,fra,France,europe,europe_west,europe_central_asia,oecd,46,2,24/10/1945,Europe & Central Asia,High income
1068,2006,0.987,0.989,0.986,fra,France,europe,europe_west,europe_central_asia,oecd,46,2,24/10/1945,Europe & Central Asia,High income
1069,2007,0.987,0.989,0.986,fra,France,europe,europe_west,europe_central_asia,oecd,46,2,24/10/1945,Europe & Central Asia,High income
1070,2008,0.987,0.989,0.986,fra,France,europe,europe_west,europe_central_asia,oecd,46,2,24/10/1945,Europe & Central Asia,High income
1071,2009,0.987,0.989,0.986,fra,France,europe,europe_west,europe_central_asia,oecd,46,2,24/10/1945,Europe & Central Asia,High income
1072,2010,0.987,0.989,0.986,fra,France,europe,europe_west,europe_central_asia,oecd,46,2,24/10/1945,Europe & Central Asia,High income
1073,2011,0.987,0.989,0.986,fra,France,europe,europe_west,europe_central_asia,oecd,46,2,24/10/1945,Europe & Central Asia,High income
1074,2012,0.987,0.989,0.986,fra,France,europe,europe_west,europe_central_asia,oecd,46,2,24/10/1945,Europe & Central Asia,High income
1075,2013,0.987,0.989,0.986,fra,France,europe,europe_west,europe_central_asia,oecd,46,2,24/10/1945,Europe & Central Asia,High income
1076,2014,0.987,0.989,0.986,fra,France,europe,europe_west,europe_central_asia,oecd,46,2,24/10/1945,Europe & Central Asia,High income
1077,2015,0.987,0.989,0.986,fra,France,europe,europe_west,europe_central_asia,oecd,46,2,24/10/1945,Europe & Central Asia,High income
1078,2016,0.987,0.989,0.986,fra,France,europe,europe_west,europe_central_asia,oecd,46,2,24/10/1945,Europe & Central Asia,High income
1079,2017,0.987,0.989,0.986,fra,France,europe,europe_west,europe_central_asia,oecd,46,2,24/10/1945,Europe & Central Asia,High income
1183,2013,0.987,0.98,0.988,grc,Greece,europe,europe_west,europe_central_asia,oecd,39,22,25/10/1945,Europe & Central Asia,High income
1718,2008,0.987,,,lby,Libya,africa,africa_north,middle_east_north_africa,g77,28,17,14/12/1955,Middle East & North Africa,Upper middle income
1827,2009,0.987,0.971,0.993,mys,Malaysia,asia,east_asia_pacific,east_asia_pacific,g77,2.5,112.5,17/09/1957,East Asia & Pacific,Upper middle income
2475,2009,0.987,0.981,0.99,prt,Portugal,europe,europe_west,europe_central_asia,oecd,39.6945,-8.13057,14/12/1955,Europe & Central Asia,High income
2615,2005,0.987,,,sau,Saudi Arabia,asia,asia_west,middle_east_north_africa,g77,25,45,24/10/1945,Middle East & North Africa,High income
3203,2017,0.987,0.995,0.98,tkm,Turkmenistan,asia,asia_west,europe_central_asia,g77,39.75,59.66667,02/03/1992,Europe & Central Asia,Upper middle income
1182,2012,0.986,0.977,0.988,grc,Greece,europe,europe_west,europe_central_asia,oecd,39,22,25/10/1945,Europe & Central Asia,High income
1717,2007,0.986,,,lby,Libya,africa,africa_north,middle_east_north_africa,g77,28,17,14/12/1955,Middle East & North Africa,Upper middle income
2614,2004,0.986,,,sau,Saudi Arabia,asia,asia_west,middle_east_north_africa,g77,25,45,24/10/1945,Middle East & North Africa,High income
3267,2009,0.986,,,are,United Arab Emirates,asia,asia_west,middle_east_north_africa,g77,23.75,54.5,09/12/1971,Middle East & North Africa,High income
3268,2010,0.986,,,are,United Arab Emirates,asia,asia_west,middle_east_north_africa,g77,23.75,54.5,09/12/1971,Middle East & North Africa,High income
3269,2011,0.986,,,are,United Arab Emirates,asia,asia_west,middle_east_north_africa,g77,23.75,54.5,09/12/1971,Middle East & North Africa,High income
3270,2012,0.986,,,are,United Arab Emirates,asia,asia_west,middle_east_north_africa,g77,23.75,54.5,09/12/1971,Middle East & North Africa,High income
3271,2013,0.986,,,are,United Arab Emirates,asia,asia_west,middle_east_north_africa,g77,23.75,54.5,09/12/1971,Middle East & North Africa,High income
3272,2014,0.986,,,are,United Arab Emirates,asia,asia_west,middle_east_north_africa,g77,23.75,54.5,09/12/1971,Middle East & North Africa,High income
3273,2015,0.986,,,are,United Arab Emirates,asia,asia_west,middle_east_north_africa,g77,23.75,54.5,09/12/1971,Middle East & North Africa,High income
3274,2016,0.986,,,are,United Arab Emirates,asia,asia_west,middle_east_north_africa,g77,23.75,54.5,09/12/1971,Middle East & North Africa,High income
3275,2017,0.986,,,are,United Arab Emirates,asia,asia_west,middle_east_north_africa,g77,23.75,54.5,09/12/1971,Middle East & North Africa,High income
1181,2011,0.985,0.975,0.988,grc,Greece,europe,europe_west,europe_central_asia,oecd,39,22,25/10/1945,Europe & Central Asia,High income
1512,2000,0.985,0.981,0.986,jor,Jordan,asia,asia_west,middle_east_north_africa,g77,31,36,14/12/1955,Middle East & North Africa,Lower middle income
1513,2001,0.985,0.98,0.986,jor,Jordan,asia,asia_west,middle_east_north_africa,g77,31,36,14/12/1955,Middle East & North Africa,Lower middle income
1673,2017,0.985,,,lbn,Lebanon,asia,asia_west,middle_east_north_africa,g77,33.83333,35.83333,24/10/1945,Middle East & North Africa,Upper middle income
1826,2008,0.985,0.968,0.992,mys,Malaysia,asia,east_asia_pacific,east_asia_pacific,g77,2.5,112.5,17/09/1957,East Asia & Pacific,Upper middle income
2474,2008,0.985,0.979,0.989,prt,Portugal,europe,europe_west,europe_central_asia,oecd,39.6945,-8.13057,14/12/1955,Europe & Central Asia,High income
2613,2003,0.985,,,sau,Saudi Arabia,asia,asia_west,middle_east_north_africa,g77,25,45,24/10/1945,Middle East & North Africa,High income
3258,2000,0.985,,,are,United Arab Emirates,asia,asia_west,middle_east_north_africa,g77,23.75,54.5,09/12/1971,Middle East & North Africa,High income
3259,2001,0.985,,,are,United Arab Emirates,asia,asia_west,middle_east_north_africa,g77,23.75,54.5,09/12/1971,Middle East & North Africa,High income
3260,2002,0.985,,,are,United Arab Emirates,asia,asia_west,middle_east_north_africa,g77,23.75,54.5,09/12/1971,Middle East & North Africa,High income
3261,2003,0.985,,,are,United Arab Emirates,asia,asia_west,middle_east_north_africa,g77,23.75,54.5,09/12/1971,Middle East & North Africa,High income
3262,2004,0.985,,,are,United Arab Emirates,asia,asia_west,middle_east_north_africa,g77,23.75,54.5,09/12/1971,Middle East & North Africa,High income
3263,2005,0.985,,,are,United Arab Emirates,asia,asia_west,middle_east_north_africa,g77,23.75,54.5,09/12/1971,Middle East & North Africa,High income
3264,2006,0.985,,,are,United Arab Emirates,asia,asia_west,middle_east_north_africa,g77,23.75,54.5,09/12/1971,Middle East & North Africa,High income
3265,2007,0.985,,,are,United Arab Emirates,asia,asia_west,middle_east_north_africa,g77,23.75,54.5,09/12/1971,Middle East & North Africa,High income
3266,2008,0.985,,,are,United Arab Emirates,asia,asia_west,middle_east_north_africa,g77,23.75,54.5,09/12/1971,Middle East & North Africa,High income
3340,2010,0.985,0.976,0.994,uzb,Uzbekistan,asia,asia_west,europe_central_asia,others,41.66667,63.83333,02/03/1992,Europe & Central Asia,Lower middle income
1179,2009,0.984,0.969,0.988,grc,Greece,europe,europe_west,europe_central_asia,oecd,39,22,25/10/1945,Europe & Central Asia,High income
1180,2010,0.984,0.972,0.988,grc,Greece,europe,europe_west,europe_central_asia,oecd,39,22,25/10/1945,Europe & Central Asia,High income
1514,2002,0.984,0.979,0.986,jor,Jordan,asia,asia_west,middle_east_north_africa,g77,31,36,14/12/1955,Middle East & North Africa,Lower middle income
1515,2003,0.984,0.978,0.985,jor,Jordan,asia,asia_west,middle_east_north_africa,g77,31,36,14/12/1955,Middle East & North Africa,Lower middle income
1716,2006,0.984,,,lby,Libya,africa,africa_north,middle_east_north_africa,g77,28,17,14/12/1955,Middle East & North Africa,Upper middle income
2464,2016,0.984,0.986,0.982,pol,Poland,europe,europe_west,europe_central_asia,oecd,52,20,24/10/1945,Europe & Central Asia,High income
2473,2007,0.984,0.976,0.989,prt,Portugal,europe,europe_west,europe_central_asia,oecd,39.6945,-8.13057,14/12/1955,Europe & Central Asia,High income
2610,2000,0.984,,,sau,Saudi Arabia,asia,asia_west,middle_east_north_africa,g77,25,45,24/10/1945,Middle East & North Africa,High income
2611,2001,0.984,,,sau,Saudi Arabia,asia,asia_west,middle_east_north_africa,g77,25,45,24/10/1945,Middle East & North Africa,High income
2612,2002,0.984,,,sau,Saudi Arabia,asia,asia_west,middle_east_north_africa,g77,25,45,24/10/1945,Middle East & North Africa,High income
2674,2010,0.984,,,syc,Seychelles,africa,africa_sub_saharan,sub_saharan_africa,g77,-4.58333,55.66667,21/09/1976,Sub-Saharan Africa,High income
3076,2016,0.984,0.982,0.986,tha,Thailand,asia,east_asia_pacific,east_asia_pacific,g77,15.5,101,16/12/1946,East Asia & Pacific,Upper middle income
624,2012,0.983,0.924,0.992,chl,Chile,americas,america_south,america,g77,-33.45694,-70.64827,24/10/1945,Latin America & Caribbean,High income
1178,2008,0.983,0.966,0.988,grc,Greece,europe,europe_west,europe_central_asia,oecd,39,22,25/10/1945,Europe & Central Asia,High income
1516,2004,0.983,0.977,0.985,jor,Jordan,asia,asia_west,middle_east_north_africa,g77,31,36,14/12/1955,Middle East & North Africa,Lower middle income
1825,2007,0.983,0.965,0.991,mys,Malaysia,asia,east_asia_pacific,east_asia_pacific,g77,2.5,112.5,17/09/1957,East Asia & Pacific,Upper middle income
3202,2016,0.983,0.992,0.974,tkm,Turkmenistan,asia,asia_west,europe_central_asia,g77,39.75,59.66667,02/03/1992,Europe & Central Asia,Upper middle income
1177,2007,0.982,0.963,0.988,grc,Greece,europe,europe_west,europe_central_asia,oecd,39,22,25/10/1945,Europe & Central Asia,High income
1517,2005,0.982,0.976,0.984,jor,Jordan,asia,asia_west,middle_east_north_africa,g77,31,36,14/12/1955,Middle East & North Africa,Lower middle income
1518,2006,0.982,0.975,0.983,jor,Jordan,asia,asia_west,middle_east_north_africa,g77,31,36,14/12/1955,Middle East & North Africa,Lower middle income
